Craton,Rockname_component,GPMDB_result#,SLAT,SLONG,PLAT,PLONG,A95,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q,R1,R2,R3,R4,R5,R6,R7,R,Nominal_age,Min,Max,Reference (separate age ref when that antedates the most recent pmag study),Year,Category,Reference,"Principal_shortcoming (with narrative if Q1,2,4,5 all satisfied)"
Baltica,Kurgashlya formation,9536,53.3,57.5,50.9,314.5,5.3,1,1,1,0,1,1,1,6,1,1,1,0,1,1,1,6,565,560,570,Lubnina et al. (age estimated only),2014,A,,
Baltica,Bakeevo formation,9537,54.9,58.2,42.3,299.1,5.3,1,1,1,g,1,1,1,7,1,1,1,g,1,1,1,7,565,560,570,Lubnina et al. (age estimated only),2014,Aq4,,
Baltica,Egersund dykes,9279,58.8,5.9,31.4,44.1,15.7,1,1,1,C,1,0,0,5,1,1,1,C,1,0,0,5,616,613,619,Walderhaug et al.,2007,Aq4,,
Baltica,Zigan formation clastic rocks,9535,53.7,56.7,-16.2,138.4,4.1,1,1,1,0,1,1,0,5,,,,,,,,,548,544,551,,2013,B,Levashova et al.,Q4
Baltica,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)",MEAN,65.5,40,-31.3,113,9.9,1,1,1,0,1,1,1,6,,,,,,,,,556,555,556,,2009,B,"LULEÅ WORKING GROUP (Popov et al., 2002, Popov et al., 2005, Iglesia-Llanos et al., 2005)",Q4
Baltica,Basu-Kukkarauk formation,9919,54,57,1.1,187.3,5.8,1,1,1,0,1,1,0,5,,,,,,,,,562,557,567,,2011,B,Golovanova et al. (age estimated only),Q4
Baltica,Chernokamenskay group sediments,9918,58.5,58.4,-17.3,126.7,6,1,1,1,0,1,1,1,6,,,,,,,,,557,544,570,,2014,B,Fedorova et al.,Q4
Baltica,"Volhyn lavas (A1, A2, A3, A3*, A4)",NEW,51.2,26,-19.8,184.4,28.3,1,0,1,0,1,1,0,4,,,,,,,,,571,561,580,,2007,B,Elming et al.,"Q2,Q4"
Baltica,Basu Formation (“precise” sites),9538,53.9,56.9,1.7,186.1,3.8,1,1,1,Ff,1,1,0,6,,,,,,,,,560,550,570,,2015,Bq4,Levashova et al. (age estimated only),Age constraints somewhat lax
Congo,Sinyai Metadolerite,8126,0.5,37.1,-29,319,3.9,1,1,1,0,0,1,1,5,1,1,1,0,0,1,1,5,547,543,551,Meert and Van der Voo,1996,A,,
Congo,Nola Metadolerite Dykes,9276,3.4,15.6,-61.8,304.8,7.6,1,1,1,0,0,1,1,5,,,,,,,,,571,565,577,,2008,B,Moloto-A-Kenguemba et al.,"Q4, Q5"
Laurentia,Baie des Moutons complex—A comp.,9364,50.8,301,42.6,332.7,12,1,1,1,0,0,0,1,4,,,,,,,,,583,581,585,,2011,B,McCausland et al.,"Q4, Q5"
Laurentia,Baie des Moutons complex—B comp.,9365,50.8,301,-34.2,321.5,15.4,1,0,1,0,0,1,0,3,,,,,,,,,583,581,585,,2011,B,McCausland et al.,"Q2, Q4, Q5"
Laurentia,Sept-Iles Layered Intrusion—A comp.,1752,50.2,293.5,-20,321,6.7,1,1,1,c,1,0,0,5,,,,,,,,,565,561,569,,1987,Bq4,"Tanczyk et al. (age: Higgins and Breemen, 1998)",Complex magnetizations in study area; confirmation needed
Laurentia,Catoctin Basalts—A comp.,7474,38.5,281.8,42,296.7,17.5,1,1,1,Cf,1,1,1,7,,,,,,,,,572,567,577,,"Meert et al., 1994a, Meert et al., 1994b, Meert et al., 1994c",Bq4,Meert et al.,Complex magnetizations in study area; confirmation needed
Laurentia,Callander Alkaline Complex,6458,46.2,280.6,46.3,301.4,6,1,1,1,C,0,1,1,6,,,,,,,,,575,570,580,,1991,Bq4,Symons and Chiasson,Q5; also complex magnetizations in study area
Laurentia,"Long Range Dykes (#1, 2, 3, 4, 6)",6934–6936,53.7,303.3,19,355.3,17.4,1,1,1,C,1,1,1,7,,,,,,,,,615,613,617,,1992,Bq4,"Murthy et al. (Kamo and Gower, 1994)",Complex magnetizations in study area; confirmation needed
Rio de la Plata,Sierra de las Animas complex,9519,-34.7,304.7,-12.2,258.9,13.9,1,1,1,f,1,1,1,7,1,1,1,f,1,1,1,7,578,573,583,Rapalini et al.,2015,Aq4,,
Rio de la Plata,Playa Hermosa glacial clastics,9520,-34.8,304.7,-58.8,183.1,12.1,1,0,1,0,1,0,0,3,,,,,,,,,594,578,610,,2015,B,Rapalini et al.,"Q2, Q4"
West Africa,Djebel Boho—pole B2,9902,30.4,353.3,27.3,27.1,14.9,1,1,1,f,0,1,1,6,,,,,,,,,536,526,547,,2017,Bq4,Robert et al.,"Q5; also, complex magnetizations in study area"
West Africa,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1",9901,30.2,352.2,21.9,31,15.6,1,1,1,fG,0,1,1,6,,,,,,,,,561,551,572,,2017,Bq4,Robert et al.,"Q5; also, complex magnetizations in study area"
West Africa,"Adrar-n-Takoucht Formation, basal Ouarzazate Group—pole C",9903,30.5,352.2,-57.6,295.6,15.7,1,0,1,f,0,1,1,5,,,,,,,,,570,564,577,,2017,Bq4,Robert et al.,"Q2, Q5; also, complex magnetizations in study area"
